policy_id,age_of_policyholder
P45001,38.647633
P45002,38.66945
P45003,36.771816
P45004,35.34029
P45005,40.230667
P45006,35.96053
P45007,37.744625
P45008,34.50576
P45009,36.90243
P45010,36.020443
P45011,40.659573
P45012,39.687405
P45013,38.254093
P45014,39.74
P45015,38.36794
P45016,40.69722
P45017,41.215054
P45018,33.662746
P45019,39.562866
P45020,40.651726
P45021,40.76533
P45022,40.318424
P45023,35.31235
P45024,37.642128
P45025,37.80918
P45026,32.889782
P45027,35.53957
P45028,36.560463
P45029,38.104282
P45030,35.09445
P45031,39.820698
P45032,36.494408
P45033,34.456627
P45034,38.732216
P45035,38.819912
P45036,38.562775
P45037,39.867207
P45038,35.963444
P45039,36.273647
P45040,40.953186
P45041,38.505352
P45042,39.526417
P45043,37.772236
P45044,37.073967
P45045,38.10611
P45046,37.08808
P45047,33.64137
P45048,40.885513
P45049,35.102875
P45050,35.754513
P45051,39.804302
P45052,37.779587
P45053,35.29936
P45054,42.360386
P45055,36.256115
P45056,34.582825
P45057,36.91644
P45058,35.918625
P45059,34.164413
P45060,40.990475
P45061,40.382526
P45062,33.359722
P45063,34.98938
P45064,32.202557
P45065,35.49419
P45066,38.12666
P45067,33.879986
P45068,35.894398
P45069,38.873013
P45070,39.8173
P45071,38.511566
P45072,39.529182
P45073,39.6728
P45074,34.133816
P45075,39.074516
P45076,39.787365
P45077,37.830425
P45078,33.79254
P45079,39.427273
P45080,41.861202
P45081,41.900238
P45082,41.222294
P45083,39.14405
P45084,34.50729
P45085,36.101067
P45086,38.428387
P45087,36.343426
P45088,40.510574
P45089,35.919186
P45090,37.59153
P45091,38.69685
P45092,39.376873
P45093,38.670746
P45094,39.60806
P45095,34.61759
P45096,40.688744
P45097,35.912666
P45098,36.66929
P45099,38.706554
P45100,36.585155
P45101,35.562782
P45102,37.633892
P45103,37.696865
P45104,36.59628
P45105,36.49298
P45106,34.90763
P45107,36.010006
P45108,36.888653
P45109,33.851048
P45110,35.457245
P45111,40.998478
P45112,38.89307
P45113,37.441746
P45114,40.52291
P45115,33.121925
P45116,36.526802
P45117,34.93873
P45118,36.37118
P45119,35.880707
P45120,39.783333
P45121,35.3428
P45122,41.772026
P45123,34.403053
P45124,36.999084
P45125,36.855972
P45126,33.30845
P45127,39.064037
P45128,35.416122
P45129,36.39852
P45130,39.84414
P45131,38.09014
P45132,33.9403
P45133,40.873615
P45134,38.22837
P45135,39.750404
P45136,34.97145
P45137,34.70378
P45138,35.260296
P45139,35.549995
P45140,32.52499
P45141,37.77057
P45142,39.08978
P45143,40.579758
P45144,39.241096
P45145,36.390713
P45146,39.947933
P45147,34.76124
P45148,34.197205
P45149,39.226948
P45150,39.30294
P45151,38.740128
P45152,36.500183
P45153,39.04366
P45154,36.50219
P45155,32.51771
P45156,39.90956
P45157,40.87118
P45158,39.475796
P45159,34.294296
P45160,39.389416
P45161,36.454506
P45162,34.251934
P45163,34.981865
P45164,36.225815
P45165,34.241432
P45166,41.14617
P45167,37.34579
P45168,36.135166
P45169,36.753242
P45170,34.60592
P45171,33.87333
P45172,36.92078
P45173,39.518513
P45174,35.136707
P45175,36.64524
P45176,38.065186
P45177,35.952984
P45178,37.55749
P45179,32.37924
P45180,36.253197
P45181,35.974922
P45182,36.422504
P45183,39.383728
P45184,36.390663
P45185,39.918175
P45186,33.624786
P45187,32.647667
P45188,38.4069
P45189,41.998867
P45190,36.147484
P45191,37.7049
P45192,36.764725
P45193,37.707108
P45194,36.30327
P45195,35.298927
P45196,35.52782
P45197,40.780937
P45198,33.738724
P45199,37.94785
P45200,36.1061
P45201,39.8122
P45202,38.370575
P45203,34.34387
P45204,38.538876
P45205,35.09485
P45206,33.588776
P45207,36.2595
P45208,39.616245
P45209,41.15939
P45210,38.209095
P45211,34.530804
P45212,39.22407
P45213,37.815987
P45214,33.763844
P45215,36.559334
P45216,35.651676
P45217,35.61913
P45218,37.954544
P45219,40.51721
P45220,35.053883
P45221,35.332153
P45222,34.039093
P45223,35.925137
P45224,35.755245
P45225,36.247402
P45226,38.303463
P45227,38.304188
P45228,34.954647
P45229,34.85559
P45230,39.562866
P45231,33.44955
P45232,41.575832
P45233,36.39952
P45234,39.221817
P45235,34.56375
P45236,39.64631
P45237,36.181366
P45238,38.033005
P45239,38.50767
P45240,36.527916
P45241,34.915363
P45242,35.901573
P45243,34.39948
P45244,39.453022
P45245,35.275066
P45246,34.81941
P45247,33.26444
P45248,37.42334
P45249,35.177692
P45250,39.92385
P45251,39.529182
P45252,37.023323
P45253,39.361526
P45254,38.597477
P45255,36.72664
P45256,35.921608
P45257,36.68314
P45258,34.93322
P45259,36.770676
P45260,36.023636
P45261,37.82957
P45262,34.518578
P45263,36.959644
P45264,39.09245
P45265,40.95998
P45266,37.6912
P45267,39.04366
P45268,35.877422
P45269,35.16793
P45270,37.491135
P45271,37.27779
P45272,37.32554
P45273,36.996864
P45274,37.83917
P45275,39.32895
P45276,37.205013
P45277,34.424393
P45278,33.362225
P45279,35.630898
P45280,33.313023
P45281,35.115177
P45282,35.548183
P45283,36.763134
P45284,37.606075
P45285,36.992134
P45286,32.221264
P45287,34.74442
P45288,34.074177
P45289,36.01483
P45290,37.185043
P45291,38.87913
P45292,38.919384
P45293,38.905865
P45294,35.15082
P45295,37.47422
P45296,35.924458
P45297,38.237743
P45298,38.798717
P45299,37.900482
P45300,34.446407
P45301,35.958374
P45302,36.580456
P45303,31.413176
P45304,31.511595
P45305,37.368553
P45306,38.738186
P45307,35.18309
P45308,36.67951
P45309,36.04218
P45310,36.621124
P45311,38.74752
P45312,34.632217
P45313,33.87341
P45314,39.141163
P45315,35.36998
P45316,39.37803
P45317,36.210484
P45318,36.366302
P45319,38.10611
P45320,36.99769
P45321,38.261497
P45322,38.045113
P45323,35.441147
P45324,33.81424
P45325,39.79017
P45326,38.503483
P45327,33.826717
P45328,35.344284
P45329,39.368206
P45330,35.3566
P45331,37.55164
P45332,37.048393
P45333,35.046623
P45334,40.661137
P45335,39.714973
P45336,35.44161
P45337,34.512554
P45338,38.323177
P45339,37.22298
P45340,34.971848
P45341,37.620564
P45342,39.76738
P45343,36.72259
P45344,35.03547
P45345,40.724247
P45346,37.4153
P45347,35.62643
P45348,36.808273
P45349,35.56141
P45350,34.674496
P45351,40.651726
P45352,38.692505
P45353,34.528435
P45354,37.55692
P45355,38.323914
P45356,36.68575
P45357,37.400826
P45358,37.419346
P45359,35.412388
P45360,34.00519
P45361,39.829884
P45362,34.243683
P45363,42.360386
P45364,38.855637
P45365,36.97485
P45366,40.783783
P45367,38.604385
P45368,37.067554
P45369,41.518284
P45370,38.741016
P45371,40.7582
P45372,39.87695
P45373,35.119892
P45374,32.203213
P45375,39.730816
P45376,35.410286
P45377,38.645878
P45378,40.147427
P45379,36.717472
P45380,36.11592
P45381,36.011375
P45382,36.178185
P45383,36.41451
P45384,33.92717
P45385,35.95198
P45386,37.42194
P45387,34.480698
P45388,40.540688
P45389,39.549828
P45390,36.900932
P45391,37.595737
P45392,37.515617
P45393,32.055668
P45394,38.836838
P45395,32.541748
P45396,42.417118
P45397,39.567356
P45398,39.33466
P45399,35.404575
P45400,36.42336
P45401,36.650658
P45402,36.230194
P45403,37.073967
P45404,37.569588
P45405,38.421272
P45406,37.956635
P45407,31.706099
P45408,33.978863
P45409,36.786247
P45410,34.305416
P45411,33.359722
P45412,36.534336
P45413,38.57344
P45414,39.21576
P45415,41.06747
P45416,39.432777
P45417,36.53698
P45418,38.949726
P45419,40.949326
P45420,36.343586
P45421,33.845978
P45422,39.9708
P45423,37.09805
P45424,34.042797
P45425,33.19676
P45426,38.6513
P45427,34.91446
P45428,34.842422
P45429,36.437363
P45430,36.804226
P45431,35.183167
P45432,42.300632
P45433,37.307735
P45434,39.453022
P45435,36.61875
P45436,38.44612
P45437,36.99118
P45438,34.042324
P45439,34.844128
P45440,38.460194
P45441,39.389557
P45442,36.54654
P45443,37.537766
P45444,37.0916
P45445,33.3052
P45446,39.807545
P45447,37.008778
P45448,37.131996
P45449,36.473377
P45450,38.011646
P45451,38.764706
P45452,39.323112
P45453,37.640114
P45454,37.645493
P45455,40.949326
P45456,39.374763
P45457,34.662724
P45458,37.721615
P45459,39.389557
P45460,36.154682
P45461,35.521767
P45462,37.232315
P45463,37.876263
P45464,39.416862
P45465,32.657402
P45466,31.369614
P45467,34.896496
P45468,39.015236
P45469,36.04704
P45470,36.84272
P45471,36.831543
P45472,37.637394
P45473,38.110035
P45474,39.732513
P45475,35.18258
P45476,36.65727
P45477,36.944016
P45478,32.30477
P45479,35.963444
P45480,34.640533
P45481,38.57013
P45482,37.955593
P45483,37.696484
P45484,41.315
P45485,37.58097
P45486,39.14108
P45487,34.901527
P45488,37.210335
P45489,32.367542
P45490,32.866196
P45491,37.127193
P45492,36.808273
P45493,34.80941
P45494,36.8734
P45495,36.778652
P45496,34.110115
P45497,36.41451
P45498,33.97854
P45499,38.247543
P45500,37.302013
P45501,39.5749
P45502,39.222645
P45503,36.298393
P45504,42.672947
P45505,37.32582
P45506,37.55749
P45507,40.651726
P45508,38.019814
P45509,36.18173
P45510,36.130463
P45511,39.834557
P45512,34.61721
P45513,35.026768
P45514,35.367317
P45515,41.595932
P45516,39.522865
P45517,38.551754
P45518,36.392982
P45519,37.362682
P45520,42.768085
P45521,35.455143
P45522,36.715862
P45523,34.944546
P45524,36.623127
P45525,38.581005
P45526,38.84177
P45527,34.784344
P45528,39.157574
P45529,33.86173
P45530,35.812443
P45531,35.739315
P45532,32.401722
P45533,41.317345
P45534,37.02435
P45535,39.02395
P45536,33.178825
P45537,40.78978
P45538,37.51997
P45539,36.9746
P45540,37.23758
P45541,38.63681
P45542,35.963444
P45543,38.608833
